event_date,release_name,importance,symbol,horizon,session_date,session_weekday,metric,value
2024-02-09,Consumer Price Index,1.0,NVDA,0,2024-02-09,Friday,realized_vol,0.011198825528856213
2024-02-09,Consumer Price Index,1.0,NVDA,1,2024-02-12,Monday,ret,-0.004132800661248104
2024-02-09,Consumer Price Index,1.0,NVDA,1,2024-02-12,Monday,abs_ret,0.004132800661248104
2024-02-09,Consumer Price Index,1.0,NVDA,1,2024-02-12,Monday,range_pct,0.046287367405978774
2024-02-09,Consumer Price Index,1.0,NVDA,1,2024-02-12,Monday,realized_vol,0.02655843204924751
2024-02-09,Consumer Price Index,1.0,NVDA,2,2024-02-13,Tuesday,ret,0.0249893511287802
2024-02-09,Consumer Price Index,1.0,NVDA,2,2024-02-13,Tuesday,abs_ret,0.0249893511287802
2024-02-09,Consumer Price Index,1.0,NVDA,2,2024-02-13,Tuesday,range_pct,0.0543802356950163
2024-02-09,Consumer Price Index,1.0,NVDA,2,2024-02-13,Tuesday,realized_vol,0.025943114974846596
2024-02-13,Consumer Price Index,1.0,NVDA,0,2024-02-13,Tuesday,ret,0.0249893511287802
2024-02-13,Consumer Price Index,1.0,NVDA,0,2024-02-13,Tuesday,abs_ret,0.0249893511287802
2024-02-13,Consumer Price Index,1.0,NVDA,0,2024-02-13,Tuesday,range_pct,0.0543802356950163
2024-02-13,Consumer Price Index,1.0,NVDA,0,2024-02-13,Tuesday,realized_vol,0.025943114974846596
2024-02-13,Consumer Price Index,1.0,NVDA,1,2024-02-14,Wednesday,ret,0.008879781420764843
2024-02-13,Consumer Price Index,1.0,NVDA,1,2024-02-14,Wednesday,abs_ret,0.008879781420764843
2024-02-13,Consumer Price Index,1.0,NVDA,1,2024-02-14,Wednesday,range_pct,0.03142076502732236
2024-02-13,Consumer Price Index,1.0,NVDA,1,2024-02-14,Wednesday,realized_vol,0.02007646372931727
2024-02-13,Consumer Price Index,1.0,NVDA,2,2024-02-15,Thursday,ret,-0.016113744075829328
2024-02-13,Consumer Price Index,1.0,NVDA,2,2024-02-15,Thursday,abs_ret,0.016113744075829328
2024-02-13,Consumer Price Index,1.0,NVDA,2,2024-02-15,Thursday,range_pct,0.021259309410968086
2024-02-13,Consumer Price Index,1.0,NVDA,2,2024-02-15,Thursday,realized_vol,0.016662777305081276
2024-02-14,Producer Price Index,0.6,NVDA,0,2024-02-14,Wednesday,ret,0.008879781420764843
2024-02-14,Producer Price Index,0.6,NVDA,0,2024-02-14,Wednesday,abs_ret,0.008879781420764843
2024-02-14,Producer Price Index,0.6,NVDA,0,2024-02-14,Wednesday,range_pct,0.03142076502732236
2024-02-14,Producer Price Index,0.6,NVDA,0,2024-02-14,Wednesday,realized_vol,0.02007646372931727
2024-02-14,Producer Price Index,0.6,NVDA,1,2024-02-15,Thursday,ret,-0.016113744075829328
